trait	traitDataType	summaryStatistics	sampleSizeOfGwas	numberOfCategories	included	PMID	doi	catalogAccession	MrcIeuOpenGwasIdentifier	rawFileDownloadLink	polygenicScoreFilePath	pearsonCorrelation	spearmanCorrelation	rocCurveAuc	pearsonCorrelationOnAdjustedPhenotype	spearmanCorrelationOnAdjustedPhenotype	rocCurveAucOnAdjustedPhenotype	r2OnAdjustedPhenotype	reportedAuc	reportedR2	reportedR2OnAdjustedPhenotype
Height	continuous	Meta-analysis_Wood_et_al+UKBiobank_2018.processed	693529	1	Y	30124842	https://doi.org/10.1093/hmg/ddy271	GCST006901		https://portals.broadinstitute.org/collaboration/giant/images/6/63/Meta-analysis_Wood_et_al%2BUKBiobank_2018.txt.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//Meta-analysis_Wood_et_al+UKBiobank_2018.processed/full.UGLI.pgs.profile	0.396221806	0.372892256	NA	0.582185288	0.572242679	NA	0.33893971			0.347
BMI	continuous	Meta-analysis_Locke_et_al+UKBiobank_2018.processed	681275	1	Y	30124842	https://doi.org/10.1093/hmg/ddy271	GCST006900		https://portals.broadinstitute.org/collaboration/giant/images/0/0f/Meta-analysis_Locke_et_al%2BUKBiobank_2018.txt.g	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//Meta-analysis_Locke_et_al+UKBiobank_2018.processed/full.UGLI.pgs.profile	0.334061537	0.330074411	NA	0.345371523	0.34650929	NA	0.119281489			0.244
Diastolic blood pressure	continuous	Evangelou_30224653_DBP.processed	757601	1	Y	30224653	https://doi.org/10.1038/s41588-018-0205-x	GCST006630		ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/EvangelouE_30224653_GCST006630/Evangelou_30224653_DBP.txt.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//Evangelou_30224653_DBP.processed/full.UGLI.pgs.profile	0.241528566	0.229859277	NA	0.278107391	0.269447414	NA	0.077343721		0.0532	
Systolic blood pressure	continuous	Evangelou_30224653_SBP.processed	757601	1	Y	30224653	https://doi.org/10.1038/s41588-018-0205-x	GCST006624		ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/EvangelouE_30224653_GCST006624/Evangelou_30224653_SBP.txt.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//Evangelou_30224653_SBP.processed/full.UGLI.pgs.profile	0.243465722	0.241554962	NA	0.285759992	0.284484742	NA	0.081658773		0.0566	
eGFR	continuous	20171016_MW_eGFR_overall_ALL_nstud61.dbgap.processed	567460	1	Y	31152163	https://doi.org/10.1038/s41588-019-0407-x	GCST008058		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/WuttkeM_31152163_GCST008058/20171016_MW_eGFR_overall_ALL_nstud61.dbgap.txt.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//20171016_MW_eGFR_overall_ALL_nstud61.dbgap.processed/full.UGLI.pgs.profile	0.251918456	0.24987366	NA	0.331707685	0.336807236	NA	0.110029988			0.071
Basophilic Granulocyte concentration	continuous	baso.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002379		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//baso.processed/full.UGLI.pgs.profile	0.170965371	0.164726417	NA	0.174512293	0.168486004	NA	0.03045454			0.02691083
Eosinophil concentration	continuous	eo.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002381		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//eo.processed/full.UGLI.pgs.profile	0.305405379	0.320507071	NA	0.307075726	0.323625656	NA	0.094295501			0.111546932
HbA1c	continuous	HbA1c_METAL_European.processed	88355	1	Y	28898252	https://doi.org/10.1371/journal.pmed.1002383	GCST007954		ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/WheelerE_28898252_GCST007954/HbA1c_METAL_European.txt.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//HbA1c_METAL_European.processed/full.UGLI.pgs.profile	0.213969542	0.2532892	NA	0.23604319	0.294096103	NA	0.055716388			0.060183333
LDL cholesterol	continuous	GERA-LDL.processed	87819	1	Y	29507422	https://doi.org/10.1038/s41588-018-0064-5	GCST007141		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HoffmannTJ_29507422_GCST007141/GERA-LDL.tsv.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//GERA-LDL.processed/full.UGLI.pgs.profile	0.309683162	0.298474988	NA	0.333807433	0.329606782	NA	0.111427402			0.119566939
Triglyceride concentration	continuous	GERA-logTG.processed	87819	1	Y	29507422	https://doi.org/10.1038/s41588-018-0064-5	GCST007142		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HoffmannTJ_29507422_GCST007142/GERA-logTG.tsv.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//GERA-logTG.processed/full.UGLI.pgs.profile	0.304621742	0.28971959	NA	0.322338506	0.307725728	NA	0.103902112			0.070287653
HDL cholesterol	continuous	GERA-sqrtHDL.processed	87819	1	Y	29507422	https://doi.org/10.1038/s41588-018-0064-5	GCST007140		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HoffmannTJ_29507422_GCST007140/GERA-sqrtHDL.tsv.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//GERA-sqrtHDL.processed/full.UGLI.pgs.profile	0.244172495	0.325838949	NA	0.253584218	0.355628425	NA	0.064304956			0.102087292
Total cholesterol	continuous	GERA-TC.processed	87819	1	Y	29507422	https://doi.org/10.1038/s41588-018-0064-5	GCST007143		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HoffmannTJ_29507422_GCST007143/GERA-TC.tsv.gz	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//GERA-TC.processed/full.UGLI.pgs.profile	0.296352291	0.288870882	NA	0.320849696	0.321177413	NA	0.102944527			0.099685411
Hematocrit concentration	continuous	hct.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002383		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//hct.processed/full.UGLI.pgs.profile	0.219463773	0.210414831	NA	0.282794951	0.281847922	NA	0.079972984			0.049312815
Hemoglobin concentration	continuous	hgb.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002384		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//hgb.processed/full.UGLI.pgs.profile	0.20826269	0.203672942	NA	0.27950614	0.287822204	NA	0.078123682			0.056966077
Lymphocyte concentration	continuous	lymph.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002388		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/	/groups/umcg-lifelines/tmp01/projects/ugli_blood_gsa/pgs_based_mixup_correction/output/PRScs/20201120//lymph.processed/full.UGLI.pgs.profile	0.280199639	0.278998511	NA	0.283107129	0.282275947	NA	0.080149647			0.105545617
