Name	Description	ColumnIdentifier	Path	FileName	TargetTrait
Diastolic blood pressure	Diastolic Blood Pressure adjusted for blood pressure lowering medications use at baseline (T0)	DBPadj.1	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines_restructured/v1	bloodpressure_hypertension/data/labels/Blood_pressure and HTN (T0 and T1).txt	Diastolic blood pressure
Systolic blood pressure	Systolic Blood Pressure adjusted for blood pressure lowering medications use at baseline (T0)	SBPadj.1	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines_restructured/v1	bloodpressure_hypertension/data/labels/Blood_pressure and HTN (T0 and T1).txt	Systolic blodd pressure
Hematocrit		HT	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Hematocrit concentration
Hemoglobin		HB	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Hemoglobin concentration
Basophilic Granulocytes		BA	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Basophilic Granulocyte concentration
Eosinophil concentration		EO	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Eosinophil concentration
Cholesterol		CHO	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Total cholesterol
Leukocytes		LEU	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Blood traits
Lymphocytes		LY	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Lymphocyte concentration
Monocytes		MO	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Monocyte concentration
LDL Cholesterol		LDC	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	LDL cholesterol
HbA1c		HBAC	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	HbA1c
Height		LENGTE	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Measurement_Anthropometry.dat	Height
BMI		BMI	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Measurement_Anthropometry.dat	BMI
Erythrocytes		ER	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Erythrocyte concentration
Neutrophil Granulocytes		GR	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	
Thrombocytes		TR	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	Thrombocyte concentration
Creatinine		BKR	/groups/umcg-lifelines/tmp01/releases/pheno_lifelines/v1/tab_separated_labels	Laboratory_assessment_Blood.dat	eGFR
