trait	traitDataType	summaryStatistics	sampleSizeOfGwas	numberOfCategories	included	PMID	doi	catalogAccession	MrcIeuOpenGwasIdentifier	rawFileDownloadLink
Height	continuous	Meta-analysis_Wood_et_al+UKBiobank_2018.processed	693529	1	Y	30124842	https://doi.org/10.1093/hmg/ddy271	GCST006901		https://portals.broadinstitute.org/collaboration/giant/images/6/63/Meta-analysis_Wood_et_al%2BUKBiobank_2018.txt.gz
BMI	continuous	Meta-analysis_Locke_et_al+UKBiobank_2018.processed	681275	1	Y	30124842	https://doi.org/10.1093/hmg/ddy271	GCST006900		https://portals.broadinstitute.org/collaboration/giant/images/0/0f/Meta-analysis_Locke_et_al%2BUKBiobank_2018.txt.g
Diastolic blood pressure	continuous	Evangelou_30224653_DBP.processed	757601	1	Y	30224653	https://doi.org/10.1038/s41588-018-0205-x	GCST006630		ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/EvangelouE_30224653_GCST006630/Evangelou_30224653_DBP.txt.gz
Systolic blood pressure	continuous	Evangelou_30224653_SBP.processed	757601	1	Y	30224653	https://doi.org/10.1038/s41588-018-0205-x	GCST006624		ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/EvangelouE_30224653_GCST006624/Evangelou_30224653_SBP.txt.gz
eGFR	continuous	20171016_MW_eGFR_overall_ALL_nstud61.dbgap.processed	567460	1	Y	31152163	https://doi.org/10.1038/s41588-019-0407-x	GCST008058		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/WuttkeM_31152163_GCST008058/20171016_MW_eGFR_overall_ALL_nstud61.dbgap.txt.gz
Basophilic Granulocyte concentration	continuous	baso.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002379		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
Eosinophil concentration	continuous	eo.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002381		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
HbA1c	continuous	HbA1c_METAL_European.processed	88355	1	Y	28898252	https://doi.org/10.1371/journal.pmed.1002383	GCST007954		ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/WheelerE_28898252_GCST007954/HbA1c_METAL_European.txt.gz
LDL cholesterol	continuous	GERA-LDL.processed	87819	1	Y	29507422	https://doi.org/10.1038/s41588-018-0064-5	GCST007141		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HoffmannTJ_29507422_GCST007141/GERA-LDL.tsv.gz
Triglyceride concentration	continuous	GERA-logTG.processed	87819	1	Y	29507422	https://doi.org/10.1038/s41588-018-0064-5	GCST007142		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HoffmannTJ_29507422_GCST007142/GERA-logTG.tsv.gz
HDL cholesterol	continuous	GERA-sqrtHDL.processed	87819	1	Y	29507422	https://doi.org/10.1038/s41588-018-0064-5	GCST007140		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HoffmannTJ_29507422_GCST007140/GERA-sqrtHDL.tsv.gz
Total cholesterol	continuous	GERA-TC.processed	87819	1	Y	29507422	https://doi.org/10.1038/s41588-018-0064-5	GCST007143		ftp://sftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/HoffmannTJ_29507422_GCST007143/GERA-TC.tsv.gz
Hematocrit concentration	continuous	hct.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002383		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
Hemoglobin concentration	continuous	hgb.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002384		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
Lymphocyte concentration	continuous	lymph.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002388		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
Monocyte concentration	continuous	mono.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002393		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
Erythrocyte concentration	continuous	rbc.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002403		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
Thrombocyte concentration	continuous	plt.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002395		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
Neutrophil concentration	continuous	neut.processed	1002426	1	Y	32888494	https://doi.org/10.1016/j.cell.2020.08.008	GCST90002398		http://ftp.sanger.ac.uk/pub/project/humgen/summary_statistics/UKBB_blood_cell_traits/
EduYears	continuous	GWAS_EA_excl23andMe.processed	766345	1	Y	30038396	https://doi.org/10.1038/s41588-018-0147-3			https://www.dropbox.com/s/ho58e9jmytmpaf8/GWAS_EA_excl23andMe.txt?dl=0
